College_Code,College_Name,Branch_Code,Branch_Name,OC,BC,BCM,MBC,SC,SCA,ST,BC_is_missing,BCM_is_missing,MBC_is_missing,SC_is_missing,SCA_is_missing,ST_is_missing,College_Name_is_missing,Branch_Code_is_missing,Branch_Name_is_missing
2,12,36,89,177.5,172.0,175.5,166.0,150.0,129.75,167.0,False,False,False,False,False,True,False,False,False
2,12,40,99,174.5,165.5,158.5,156.5,145.5,130.5,136.0,False,False,False,False,False,False,False,False,False
4,14,1,6,191.5,190.0,189.5,188.0,183.0,163.5,167.0,False,False,False,False,False,True,False,False,False
4,14,5,11,184.0,180.0,184.0,173.5,165.0,139.5,167.0,False,False,False,False,False,True,False,False,False
4,14,6,10,188.5,186.0,186.0,180.0,172.5,169.5,155.5,False,False,False,False,False,False,False,False,False
4,14,12,34,193.0,192.0,192.0,190.0,185.0,163.5,168.5,False,False,False,False,False,False,False,False,False
4,14,14,31,195.0,194.0,192.5,191.0,189.75,184.0,167.0,False,False,False,False,False,True,False,False,False
4,14,16,45,193.0,192.0,190.0,190.0,188.5,173.5,182.0,False,False,False,False,False,False,False,False,False
4,14,18,48,190.0,190.0,189.0,187.0,175.5,155.0,167.0,False,False,False,False,False,True,False,False,False
4,14,19,44,191.0,190.5,190.0,189.0,175.5,159.5,129.0,False,False,False,False,False,False,False,False,False
4,14,25,63,191.5,190.5,190.0,189.5,175.0,155.5,152.5,False,False,False,False,False,False,False,False,False
4,14,31,78,190.0,190.0,189.0,185.5,172.5,152.0,137.0,False,False,False,False,False,False,False,False,False
4,14,37,94,186.5,183.5,182.0,175.0,164.0,135.5,140.0,False,False,False,False,False,False,False,False,False
4,14,39,96,178.5,172.5,156.5,164.0,153.0,126.5,110.5,False,False,False,False,False,False,False,False,False
5,1,3,32,133.0,86.5,97.5,92.0,86.0,161.75,167.0,False,False,False,False,True,True,False,False,False
5,1,7,33,101.0,79.5,186.375,94.5,80.0,161.75,167.0,False,True,False,False,True,True,False,False,False
5,1,9,26,109.0,88.0,186.375,88.5,80.0,99.5,167.0,False,True,False,False,False,True,False,False,False
5,1,10,24,127.5,91.0,186.375,88.5,81.5,100.0,167.0,False,True,False,False,False,True,False,False,False
5,1,14,31,128.0,91.5,98.0,104.0,91.0,118.0,167.0,False,False,False,False,False,True,False,False,False
5,1,15,28,94.0,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
5,1,16,45,125.0,83.0,84.0,100.0,86.5,161.75,167.0,False,False,False,False,True,True,False,False,False
5,1,17,41,98.5,81.0,88.0,80.5,80.0,161.75,167.0,False,False,False,False,True,True,False,False,False
5,1,18,48,81.5,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
5,1,27,64,113.0,85.5,89.5,81.0,88.5,161.75,167.0,False,False,False,False,True,True,False,False,False
5,1,30,79,98.5,81.0,86.5,83.0,83.5,161.75,167.0,False,False,False,False,True,True,False,False,False
5,1,33,77,80.0,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
1013,11,14,31,148.0,138.0,101.5,127.0,112.0,110.5,167.0,False,False,False,False,False,True,False,False,False
1013,11,16,45,128.0,94.5,99.0,111.0,83.5,113.5,167.0,False,False,False,False,False,True,False,False,False
1013,11,27,64,136.5,118.5,123.0,121.5,98.0,96.0,167.0,False,False,False,False,False,True,False,False,False
1013,11,30,79,107.5,89.5,186.375,83.0,80.0,85.5,167.0,False,True,False,False,False,True,False,False,False
1013,11,42,80,113.5,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
1014,10,9,26,80.0,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
1014,10,14,31,143.5,112.0,82.0,114.5,103.0,161.75,167.0,False,False,False,False,True,True,False,False,False
1014,10,16,45,118.0,80.0,86.0,86.0,81.0,161.75,167.0,False,False,False,False,True,True,False,False,False
